Sample,X,Y,Z
319,-0.1140136719,0.0000000000,0.8864746094
320,-0.1147460938,0.0024414062,0.8730468750
321,-0.1076660156,0.0039062500,0.8781738281
322,-0.1140136719,0.0068359375,0.8701171875
323,-0.1164550781,-0.0029296875,0.8735351562
324,-0.1145019531,-0.0009765625,0.8696289062
325,-0.1142578125,-0.0012207031,0.8676757812
326,-0.1101074219,0.0034179688,0.8723144531
327,-0.1105957031,-0.0024414062,0.8718261719
328,-0.1108398438,-0.0036621094,0.8737792969
329,-0.1147460938,-0.0041503906,0.8757324219
330,-0.1113281250,-0.0019531250,0.8803710938
331,-0.1176757812,0.0021972656,0.8764648438
332,-0.1054687500,-0.0019531250,0.8713378906
333,-0.1103515625,0.0014648438,0.8757324219
334,-0.1027832031,-0.0026855469,0.8764648438
335,-0.1101074219,-0.0026855469,0.8688964844
336,-0.1040039062,0.0036621094,0.8747558594
337,-0.1142578125,-0.0021972656,0.8752441406
338,-0.1127929688,-0.0004882812,0.8659667969
339,-0.1149902344,-0.0026855469,0.8779296875
340,-0.1079101562,0.0002441406,0.8725585938
341,-0.1057128906,-0.0017089844,0.8737792969
342,-0.1105957031,-0.0017089844,0.8776855469
343,-0.1098632812,0.0026855469,0.8779296875
344,-0.1140136719,-0.0019531250,0.8730468750
345,-0.1105957031,0.0021972656,0.8664550781
346,-0.1118164062,0.0012207031,0.8706054688
347,-0.1208496094,0.0024414062,0.8732910156
348,-0.1079101562,0.0004882812,0.8759765625
349,-0.1115722656,-0.0024414062,0.8801269531
350,-0.1101074219,0.0012207031,0.8791503906
351,-0.1142578125,-0.0036621094,0.8715820312
352,-0.1127929688,0.0046386719,0.8688964844
353,-0.1103515625,0.0004882812,0.8771972656
354,-0.1159667969,0.0041503906,0.8779296875
355,-0.1147460938,0.0024414062,0.8662109375
356,-0.1110839844,0.0004882812,0.8750000000
357,-0.1149902344,-0.0009765625,0.8862304688
358,-0.1137695312,0.0009765625,0.8750000000
359,-0.1123046875,-0.0031738281,0.8769531250
360,-0.1101074219,-0.0024414062,0.8752441406
361,-0.1142578125,0.0021972656,0.8820800781
362,-0.1191406250,0.0034179688,0.8706054688
363,-0.1140136719,0.0036621094,0.8774414062
364,-0.1127929688,0.0007324219,0.8740234375
365,-0.1081542969,0.0014648438,0.8833007812
366,-0.1218261719,0.0041503906,0.8781738281
367,-0.1184082031,0.0024414062,0.8920898438
368,-0.1120605469,0.0000000000,0.8713378906
369,-0.1105957031,0.0009765625,0.8750000000
370,-0.1164550781,0.0026855469,0.8757324219
371,-0.1130371094,-0.0039062500,0.8825683594
372,-0.1105957031,0.0017089844,0.8750000000
373,-0.1083984375,-0.0026855469,0.8732910156
374,-0.1135253906,0.0053710938,0.8837890625
375,-0.1123046875,0.0019531250,0.8747558594
376,-0.1088867188,0.0014648438,0.8774414062
377,-0.1140136719,-0.0048828125,0.8830566406
378,-0.1096191406,0.0012207031,0.8752441406
379,-0.1115722656,-0.0012207031,0.8696289062
380,-0.1145019531,-0.0002441406,0.8723144531
381,-0.1132812500,0.0031738281,0.8767089844
382,-0.1169433594,0.0017089844,0.8779296875
383,-0.1110839844,0.0039062500,0.8723144531
384,-0.1086425781,-0.0026855469,0.8752441406
385,-0.1083984375,0.0004882812,0.8747558594
