Sample,X,Y,Z
2125,0.0192871094,0.0034179688,0.9133300781
2136,0.0288085938,0.0102539062,0.9121093750
2137,0.0285644531,0.0085449219,0.9099121094
2148,0.0334472656,0.0090332031,0.9130859375
2149,0.0288085938,0.0041503906,0.9096679688
2160,0.0371093750,0.0114746094,0.9020996094
2166,0.0456542969,0.0061035156,0.9060058594
2167,0.0458984375,0.0073242188,0.9086914062
2178,0.0446777344,0.0097656250,0.9072265625
2179,0.0490722656,0.0104980469,0.9025878906
2190,0.0541992188,0.0046386719,0.9147949219
2196,0.0620117188,0.0056152344,0.8916015625
2197,0.0678710938,0.0100097656,0.9025878906
2208,0.0676269531,0.0114746094,0.8984375000
2209,0.0756835938,0.0092773438,0.8852539062
2220,0.0793457031,0.0141601562,0.8928222656
2226,0.0878906250,0.0192871094,0.9016113281
2227,0.0895996094,0.0146484375,0.8811035156
2238,0.0944824219,0.0168457031,0.8928222656
2239,0.1010742188,0.0178222656,0.8898925781
2250,0.1098632812,0.0190429688,0.8828125000
2256,0.1105957031,0.0227050781,0.8811035156
2257,0.1166992188,0.0173339844,0.8764648438
2268,0.1152343750,0.0200195312,0.8808593750
2269,0.1193847656,0.0173339844,0.8701171875
2280,0.1171875000,0.0173339844,0.8774414062
2281,0.1286621094,0.0195312500,0.8718261719
2292,0.1262207031,0.0170898438,0.8642578125
2298,0.1279296875,0.0234375000,0.8664550781
2299,0.1328125000,0.0151367188,0.8786621094
2310,0.1469726562,0.0126953125,0.8735351562
2311,0.1445312500,0.0153808594,0.8725585938
2322,0.1550292969,0.0114746094,0.8776855469
2328,0.1569824219,0.0134277344,0.8737792969
2329,0.1550292969,0.0126953125,0.8718261719
2340,0.1640625000,0.0107421875,0.8674316406
2341,0.1750488281,0.0058593750,0.8666992188
2352,0.1657714844,0.0051269531,0.8688964844
2353,0.1752929688,0.0061035156,0.8610839844
2364,0.1838378906,0.0080566406,0.8801269531
2370,0.1838378906,0.0026855469,0.8645019531
2371,0.1772460938,0.0012207031,0.8632812500
2382,0.1843261719,0.0048828125,0.8579101562
2383,0.1936035156,0.0041503906,0.8625488281
2394,0.1938476562,0.0119628906,0.8562011719
2400,0.1997070312,0.0124511719,0.8544921875
2401,0.2065429688,0.0124511719,0.8613281250
2412,0.2106933594,0.0153808594,0.8618164062
2413,0.2109375000,0.0102539062,0.8576660156
2424,0.2192382812,0.0161132812,0.8488769531
2425,0.2199707031,0.0153808594,0.8469238281
2436,0.2277832031,0.0092773438,0.8442382812
2442,0.2319335938,0.0114746094,0.8361816406
2443,0.2336425781,0.0073242188,0.8366699219
2454,0.2399902344,0.0131835938,0.8317871094
2455,0.2387695312,0.0075683594,0.8308105469
2466,0.2404785156,-0.0009765625,0.8293457031
2472,0.2419433594,0.0019531250,0.8278808594
2473,0.2460937500,0.0029296875,0.8288574219
2484,0.2495117188,-0.0014648438,0.8354492188
2485,0.2492675781,0.0043945312,0.8347167969
2496,0.2463378906,0.0114746094,0.8312988281
2502,0.2578125000,0.0100097656,0.8415527344
2503,0.2570800781,0.0031738281,0.8400878906
2514,0.2668457031,0.0080566406,0.8476562500
2515,0.2656250000,0.0156250000,0.8461914062
2526,0.2749023438,0.0124511719,0.8471679688
2532,0.2832031250,0.0178222656,0.8598632812
2533,0.2895507812,0.0170898438,0.8530273438
2544,0.2937011719,0.0178222656,0.8386230469
2545,0.2934570312,0.0178222656,0.8291015625
2556,0.2885742188,0.0166015625,0.8251953125
2557,0.2993164062,0.0163574219,0.8371582031
2568,0.2976074219,0.0129394531,0.8244628906
2574,0.3049316406,0.0117187500,0.8259277344
2575,0.3051757812,0.0117187500,0.8242187500
2586,0.3115234375,0.0158691406,0.8264160156
2587,0.3007812500,0.0151367188,0.8312988281
2598,0.3127441406,0.0134277344,0.8244628906
2604,0.3171386719,0.0168457031,0.8242187500
2605,0.3220214844,0.0222167969,0.8288574219
2616,0.3239746094,0.0136718750,0.8300781250
2617,0.3251953125,0.0114746094,0.8293457031
2628,0.3281250000,0.0068359375,0.8295898438
2629,0.3310546875,0.0085449219,0.8134765625
2640,0.3349609375,0.0041503906,0.8161621094
2646,0.3378906250,-0.0043945312,0.8151855469
2647,0.3320312500,-0.0080566406,0.8134765625
2658,0.3349609375,0.0009765625,0.8027343750
2659,0.3344726562,-0.0070800781,0.8137207031
2670,0.3322753906,-0.0009765625,0.8083496094
2676,0.3393554688,0.0048828125,0.8154296875
2677,0.3454589844,0.0009765625,0.8054199219
2688,0.3500976562,0.0048828125,0.8183593750
2689,0.3547363281,0.0104980469,0.8007812500
2700,0.3635253906,0.0092773438,0.8037109375
2706,0.3598632812,0.0087890625,0.8049316406
2707,0.3652343750,0.0117187500,0.8007812500
2718,0.3696289062,0.0107421875,0.8056640625
2719,0.3676757812,0.0124511719,0.7978515625
2730,0.3713378906,0.0134277344,0.7956542969
2736,0.3688964844,0.0139160156,0.7900390625
2737,0.3750000000,0.0104980469,0.8056640625
2748,0.3767089844,0.0092773438,0.7990722656
2749,0.3813476562,0.0183105469,0.8051757812
2760,0.3732910156,0.0156250000,0.8105468750
2761,0.3850097656,0.0180664062,0.8168945312
2772,0.3857421875,0.0183105469,0.8259277344
2778,0.3889160156,0.0241699219,0.8178710938
2779,0.3918457031,0.0229492188,0.8205566406
2790,0.3913574219,0.0209960938,0.8125000000
2791,0.3940429688,0.0222167969,0.8188476562
2802,0.4038085938,0.0114746094,0.8017578125
2808,0.4018554688,0.0139160156,0.8059082031
2809,0.3984375000,0.0156250000,0.8015136719
2820,0.4001464844,0.0168457031,0.7897949219
2821,0.4040527344,0.0158691406,0.7932128906
2832,0.4020996094,0.0144042969,0.7946777344
2838,0.4086914062,0.0144042969,0.8027343750
2839,0.4069824219,0.0117187500,0.8037109375
2850,0.4108886719,0.0139160156,0.8000488281
2851,0.4111328125,0.0136718750,0.7941894531
2862,0.4113769531,0.0139160156,0.8090820312
2868,0.4113769531,0.0156250000,0.8044433594
2869,0.4199218750,0.0134277344,0.8076171875
2880,0.4138183594,0.0180664062,0.8132324219
2881,0.4130859375,0.0041503906,0.7917480469
2892,0.4228515625,0.0112304688,0.7949218750
2893,0.4255371094,0.0092773438,0.7985839844
2904,0.4284667969,0.0073242188,0.7805175781
2910,0.4213867188,0.0002441406,0.7890625000
2911,0.4223632812,0.0017089844,0.7951660156
2922,0.4267578125,-0.0046386719,0.7871093750
2923,0.4208984375,-0.0048828125,0.7934570312
2934,0.4167480469,-0.0092773438,0.7885742188
2935,0.4172363281,-0.0075683594,0.7937011719
2946,0.4165039062,-0.0070800781,0.7888183594
2952,0.4240722656,-0.0029296875,0.7805175781
2953,0.4282226562,-0.0063476562,0.7795410156
2964,0.4272460938,-0.0056152344,0.7795410156
2965,0.4348144531,-0.0014648438,0.7795410156
2976,0.4357910156,0.0000000000,0.7783203125
