Sample,X,Y,Z
205,0.4089355469,0.0234375000,0.8093261719
206,0.4091796875,0.0231933594,0.8078613281
207,0.4094238281,0.0253906250,0.8076171875
208,0.4082031250,0.0273437500,0.8127441406
209,0.4035644531,0.0234375000,0.8037109375
210,0.4074707031,0.0236816406,0.8037109375
211,0.4006347656,0.0239257812,0.8110351562
212,0.4038085938,0.0261230469,0.8110351562
213,0.4042968750,0.0263671875,0.8117675781
214,0.4050292969,0.0288085938,0.8037109375
215,0.4011230469,0.0251464844,0.8090820312
216,0.4003906250,0.0266113281,0.8110351562
217,0.3979492188,0.0266113281,0.8200683594
218,0.3989257812,0.0227050781,0.8093261719
219,0.3957519531,0.0266113281,0.8100585938
220,0.4028320312,0.0261230469,0.8081054688
221,0.4035644531,0.0310058594,0.8195800781
222,0.3999023438,0.0231933594,0.8151855469
223,0.4020996094,0.0256347656,0.8237304688
224,0.3972167969,0.0244140625,0.8205566406
225,0.4030761719,0.0234375000,0.8139648438
226,0.4028320312,0.0268554688,0.8115234375
227,0.3986816406,0.0195312500,0.8100585938
228,0.3999023438,0.0263671875,0.8203125000
229,0.3986816406,0.0283203125,0.8186035156
230,0.3947753906,0.0231933594,0.8154296875
231,0.4045410156,0.0270996094,0.8083496094
232,0.4018554688,0.0224609375,0.8132324219
233,0.3981933594,0.0234375000,0.8090820312
234,0.4023437500,0.0163574219,0.8146972656
235,0.4042968750,0.0205078125,0.8227539062
236,0.3920898438,0.0236816406,0.8215332031
237,0.4033203125,0.0207519531,0.8178710938
238,0.4025878906,0.0244140625,0.8193359375
239,0.3962402344,0.0214843750,0.8122558594
240,0.4001464844,0.0278320312,0.8034667969
241,0.3984375000,0.0185546875,0.8220214844
242,0.3986816406,0.0180664062,0.8242187500
243,0.3989257812,0.0229492188,0.8156738281
244,0.3969726562,0.0227050781,0.8193359375
245,0.3923339844,0.0241699219,0.8210449219
246,0.3928222656,0.0209960938,0.8212890625
247,0.3994140625,0.0183105469,0.8186035156
248,0.4006347656,0.0273437500,0.8190917969
249,0.3986816406,0.0224609375,0.8198242188
250,0.4035644531,0.0258789062,0.8181152344
251,0.3959960938,0.0227050781,0.8178710938
252,0.3950195312,0.0280761719,0.8220214844
253,0.3999023438,0.0227050781,0.8200683594
254,0.4016113281,0.0295410156,0.8178710938
255,0.3947753906,0.0290527344,0.8271484375
256,0.3967285156,0.0278320312,0.8151855469
257,0.3945312500,0.0288085938,0.8200683594
258,0.3952636719,0.0249023438,0.8139648438
259,0.3986816406,0.0227050781,0.8203125000
260,0.3952636719,0.0239257812,0.8161621094
261,0.3972167969,0.0246582031,0.8132324219
262,0.4028320312,0.0263671875,0.8139648438
263,0.3967285156,0.0214843750,0.8186035156
264,0.3999023438,0.0261230469,0.8181152344
265,0.4003906250,0.0256347656,0.8093261719
266,0.3977050781,0.0253906250,0.8178710938
267,0.3991699219,0.0280761719,0.8186035156
268,0.3974609375,0.0251464844,0.8161621094
269,0.3957519531,0.0224609375,0.8100585938
270,0.3957519531,0.0227050781,0.8173828125
271,0.3947753906,0.0307617188,0.8178710938
272,0.3996582031,0.0261230469,0.8137207031
273,0.3996582031,0.0246582031,0.8198242188
274,0.4003906250,0.0222167969,0.8117675781
275,0.4035644531,0.0246582031,0.8217773438
276,0.3957519531,0.0231933594,0.8261718750
277,0.4020996094,0.0253906250,0.8203125000
278,0.4003906250,0.0319824219,0.8078613281
279,0.3999023438,0.0239257812,0.8083496094
280,0.3920898438,0.0280761719,0.8149414062
281,0.3986816406,0.0263671875,0.8232421875
282,0.4025878906,0.0273437500,0.8142089844
283,0.4023437500,0.0278320312,0.8176269531
284,0.3986816406,0.0275878906,0.8186035156
285,0.3979492188,0.0253906250,0.8098144531
286,0.4033203125,0.0283203125,0.8149414062
287,0.4042968750,0.0273437500,0.8149414062
288,0.4050292969,0.0297851562,0.8120117188
289,0.3969726562,0.0273437500,0.8073730469
290,0.3994140625,0.0288085938,0.8110351562
291,0.3959960938,0.0266113281,0.8176269531
292,0.3947753906,0.0268554688,0.8159179688
293,0.3969726562,0.0268554688,0.8134765625
294,0.3947753906,0.0246582031,0.8168945312
295,0.4069824219,0.0285644531,0.8110351562
296,0.3981933594,0.0275878906,0.8215332031
297,0.4035644531,0.0229492188,0.8129882812
298,0.4008789062,0.0246582031,0.8151855469
299,0.4035644531,0.0300292969,0.8115234375
300,0.4013671875,0.0275878906,0.8142089844
301,0.4067382812,0.0212402344,0.8129882812
302,0.4025878906,0.0253906250,0.8144531250
303,0.3989257812,0.0209960938,0.8142089844
304,0.4008789062,0.0244140625,0.8156738281
305,0.4020996094,0.0219726562,0.8188476562
306,0.3962402344,0.0187988281,0.8076171875
307,0.4050292969,0.0266113281,0.8156738281
308,0.4052734375,0.0205078125,0.8188476562
309,0.4042968750,0.0195312500,0.8117675781
310,0.4062500000,0.0173339844,0.8134765625
311,0.4055175781,0.0126953125,0.8129882812
312,0.4008789062,0.0200195312,0.8073730469
313,0.4033203125,0.0158691406,0.8139648438
314,0.3974609375,0.0178222656,0.8205566406
315,0.3989257812,0.0075683594,0.8115234375
316,0.4006347656,0.0200195312,0.8088378906
317,0.4006347656,0.0087890625,0.8149414062
318,0.4047851562,0.0195312500,0.8215332031
319,0.4033203125,0.0170898438,0.8144531250
320,0.4057617188,0.0212402344,0.8125000000
321,0.3999023438,0.0168457031,0.8186035156
322,0.3984375000,0.0212402344,0.8139648438
323,0.3989257812,0.0200195312,0.8168945312
324,0.3989257812,0.0163574219,0.8115234375
325,0.4006347656,0.0202636719,0.8154296875
326,0.4050292969,0.0195312500,0.8217773438
327,0.4035644531,0.0273437500,0.8225097656
328,0.4011230469,0.0231933594,0.8225097656
329,0.4040527344,0.0241699219,0.8225097656
330,0.4086914062,0.0249023438,0.8171386719
331,0.3979492188,0.0214843750,0.8186035156
332,0.4064941406,0.0192871094,0.8107910156
333,0.4067382812,0.0192871094,0.8061523438
334,0.4038085938,0.0256347656,0.8154296875
335,0.4033203125,0.0270996094,0.8061523438
336,0.4040527344,0.0246582031,0.8041992188
337,0.4055175781,0.0253906250,0.8132324219
338,0.4006347656,0.0280761719,0.8068847656
339,0.4047851562,0.0268554688,0.8144531250
340,0.4052734375,0.0266113281,0.8078613281
341,0.4028320312,0.0270996094,0.8063964844
342,0.4050292969,0.0283203125,0.8059082031
343,0.3984375000,0.0278320312,0.8076171875
344,0.3967285156,0.0251464844,0.8034667969
345,0.4042968750,0.0332031250,0.8022460938
346,0.4047851562,0.0249023438,0.8098144531
347,0.4047851562,0.0268554688,0.8054199219
348,0.4016113281,0.0268554688,0.8041992188
349,0.4035644531,0.0229492188,0.8076171875
350,0.4003906250,0.0231933594,0.8000488281
351,0.4069824219,0.0270996094,0.8049316406
352,0.4064941406,0.0266113281,0.7985839844
353,0.4060058594,0.0197753906,0.8059082031
354,0.4069824219,0.0273437500,0.8076171875
355,0.4052734375,0.0241699219,0.8049316406
356,0.4030761719,0.0278320312,0.8066406250
357,0.4011230469,0.0207519531,0.8142089844
358,0.4096679688,0.0195312500,0.8085937500
359,0.4025878906,0.0256347656,0.8059082031
360,0.3981933594,0.0290527344,0.8093261719
361,0.4040527344,0.0278320312,0.8049316406
362,0.4023437500,0.0275878906,0.8129882812
363,0.4025878906,0.0205078125,0.8144531250
364,0.3996582031,0.0229492188,0.8081054688
365,0.4038085938,0.0305175781,0.8063964844
366,0.4030761719,0.0249023438,0.8134765625
367,0.3945312500,0.0231933594,0.8078613281
368,0.3984375000,0.0209960938,0.8205566406
369,0.3984375000,0.0192871094,0.8068847656
370,0.3991699219,0.0285644531,0.8071289062
371,0.4033203125,0.0317382812,0.8107910156
372,0.3955078125,0.0195312500,0.8103027344
373,0.4040527344,0.0217285156,0.8210449219
374,0.3994140625,0.0227050781,0.8186035156
375,0.4047851562,0.0178222656,0.8237304688
376,0.4020996094,0.0275878906,0.8168945312
377,0.3979492188,0.0244140625,0.8317871094
378,0.3959960938,0.0219726562,0.8239746094
379,0.3979492188,0.0246582031,0.8217773438
380,0.3947753906,0.0278320312,0.8178710938
381,0.3955078125,0.0222167969,0.8159179688
382,0.3994140625,0.0256347656,0.8227539062
383,0.3974609375,0.0258789062,0.8186035156
384,0.3994140625,0.0241699219,0.8120117188
385,0.3994140625,0.0180664062,0.8222656250
386,0.3955078125,0.0217285156,0.8166503906
387,0.3894042969,0.0192871094,0.8254394531
388,0.3916015625,0.0256347656,0.8176269531
389,0.4035644531,0.0273437500,0.8281250000
390,0.4020996094,0.0244140625,0.8168945312
391,0.3952636719,0.0251464844,0.8120117188
392,0.3925781250,0.0285644531,0.8186035156
393,0.3881835938,0.0253906250,0.8195800781
394,0.3898925781,0.0180664062,0.8205566406
395,0.3886718750,0.0222167969,0.8288574219
396,0.3962402344,0.0195312500,0.8220214844
397,0.4016113281,0.0180664062,0.8220214844
398,0.3952636719,0.0168457031,0.8220214844
399,0.3925781250,0.0222167969,0.8347167969
400,0.3859863281,0.0241699219,0.8278808594
